"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","population_proper","density","source","incorporated","timezone","zips","id","EWG_City","PRIMACY_AGENCY_CODE","ins","del","sub"
"Scipio","Scipio","UT","Utah",49027,"Millard",39.2491,-112.1044,329,329,122,"polygon",TRUE,"America/Denver","84656",1840022461,"Slc","UT",4,1,0
"Escalante","Escalante","UT","Utah",49017,"Garfield",37.7648,-111.6,802,802,93,"polygon",TRUE,"America/Denver","84726",1840020271,"Slc","UT",6,0,1
"Millcreek","Millcreek","UT","Utah",49035,"Salt Lake",40.6892,-111.8291,60192,60192,1821,"polygon",TRUE,"America/Denver","84117 84124 84109 84106 84107 84141",1840018744,"Slc","UT",6,0,1
"Halls Crossing","Halls Crossing","UT","Utah",49037,"San Juan",37.4578,-110.6829,NA,NA,0.2,"polygon",FALSE,"America/Denver","84533",1840017595,"Slc","UT",11,0,1
"Upalco","Upalco","UT","Utah",49013,"Duchesne",40.278,-110.2182,NA,NA,14.6,"point",FALSE,"America/Denver","84007",1840037175,"Slc","UT",3,0,1
"Marriott-Slaterville","Marriott-Slaterville","UT","Utah",49057,"Weber",41.2624,-112.0366,1778,1778,95,"polygon",TRUE,"America/Denver","84404 84201",1840020133,"Slc","UT",17,0,1
"Cisco","Cisco","UT","Utah",49019,"Grand",38.97,-109.3207,NA,NA,0,"point",FALSE,"America/Denver","84515",1840033609,"Slc","UT",2,0,2
"Woods Cross","Woods Cross","UT","Utah",49011,"Davis",40.8731,-111.917,11362,11362,1146,"polygon",TRUE,"America/Denver","84087",1840021355,"Slc","UT",8,0,1
"Gandy","Gandy","UT","Utah",49027,"Millard",39.4499,-113.983,NA,NA,0,"point",FALSE,"America/Denver","84728",1840033661,"Sandy","UT",0,0,1
"Sandy City","Sandy City","UT","Utah",49035,"Salt Lake",40.5916,-111.8841,NA,NA,1519.6,"point",TRUE,"America/Denver","84070",1840037246,"Sandy","UT",5,0,0
"Burlington","Burlington","VT","Vermont",50007,"Chittenden",44.4877,-73.2314,108277,42239,1582,"polygon",TRUE,"America/New_York","05405 05401 05408 05406",1840002310,"S Burlington","VT",0,2,0
"South Burlington","South Burlington","VT","Vermont",50007,"Chittenden",44.4622,-73.2203,19141,19141,448,"polygon",TRUE,"America/New_York","05403 05407",1840002311,"S Burlington","VT",4,0,0
"Mount Vernon","Mount Vernon","WA","Washington",53057,"Skagit",48.4202,-122.3116,69528,35051,1099,"polygon",TRUE,"America/Los_Angeles","98274 98273",1840019774,"Mt Vernon","WA",3,0,0
"North Fond du Lac","North Fond du Lac","WI","Wisconsin",55039,"Fond du Lac",43.8107,-88.4861,5070,5070,922,"polygon",TRUE,"America/Chicago","54937",1840002607,"Fond Du Lac","WI",6,0,0
"Fond du Lac","Fond du Lac","WI","Wisconsin",55039,"Fond du Lac",43.772,-88.4396,54629,42809,872,"polygon",TRUE,"America/Chicago","54937 54935 54936",1840002603,"Fond Du Lac","WI",0,0,0
"Menomonee Falls","Menomonee Falls","WI","Wisconsin",55133,"Waukesha",43.1487,-88.1227,37443,37443,439,"polygon",TRUE,"America/Chicago","53051 53052",1840003020,"Menomonie","WI",6,0,1
